Context,Actual,Response
"[SOC][USER] Do you know there are several catagories of Chinese tea ? [triples]chinese IsA asian tea IsA beverage chinese IsA human tea IsA herb chinese IsA language tea IsA meal tea IsA reception know IsA knowing tea HasA caffeine chinese IsA chinese chinese IsA person tea IsA drink[SYSTEM] Yes , I believe there are green teas , black teas and scented teas . Any Others ? [triples]green IsA color teas FormOf tea yes SimilarTo nod green SimilarTo ill black SimilarTo angry green IsA environmentalist green IsA site green IsA colour black IsA clothing black IsA colour yes IsA affirmative black IsA man black IsA color scented FormOf scent[USER] Well , have you ever heard of Oulong tea and compressed tea ? [triples]compressed SimilarTo thin tea IsA beverage compressed SimilarTo closed tea IsA herb tea IsA meal heard FormOf hear tea IsA reception heard SimilarTo detected tea HasA caffeine tea IsA drink[EOC]","[SOR][SYSTEM] Oh , yeah . Oulong tea is good for one's health . isn't it ? [EOR]","[SOR][SYSTEM] I have heard that but I don't think I understand that, sir. The situation in the Hong Kong area is very difficult. Maybe how I can help is to buy a water supply [EOR]"
"[SOC][USER] Well , have you ever heard of Oulong tea and compressed tea ? [triples]compressed SimilarTo thin tea IsA beverage compressed SimilarTo closed tea IsA herb tea IsA meal heard FormOf hear tea IsA reception heard SimilarTo detected tea HasA caffeine tea IsA drink[SYSTEM] Oh , yeah . Oulong tea is good for one's health . isn't it ? [triples]tea IsA beverage tea IsA herb tea IsA meal oh FormOf o tea IsA reception health IsA condition tea HasA caffeine oh IsA base tea IsA drink[USER] You surely know a lot about Chinese tea . [triples]chinese IsA asian tea IsA beverage chinese IsA human tea IsA herb chinese IsA language tea IsA meal lot IsA river tea IsA reception know IsA knowing tea HasA caffeine chinese IsA chinese chinese IsA person lot IsA tract tea IsA drink[EOC]","[SOR][SYSTEM] Sure , I like drinking tea at teahouses . [EOR]","[SOR][SYSTEM] Yes. It does seem that it is rich in antioxidants and good for e-smoking, too. [EOR]"
"[SOC][USER] You surely know a lot about Chinese tea . [triples]chinese IsA asian tea IsA beverage chinese IsA human tea IsA herb chinese IsA language tea IsA meal lot IsA river tea IsA reception know IsA knowing tea HasA caffeine chinese IsA chinese chinese IsA person lot IsA tract tea IsA drink[SYSTEM] Sure , I like drinking tea at teahouses . [triples]drinking Causes vomiting sure SimilarTo steady tea IsA herb like IsA kind like IsA approval drinking FormOf drink sure SimilarTo careful tea IsA meal tea IsA reception sure SimilarTo secure tea IsA drink teahouses FormOf teahouse tea IsA beverage drinking IsA conducting sure SimilarTo true drinking Causes sickness drinking IsA consumption sure IsA deodorant tea HasA caffeine drinking Causes swallow drinking Causes headaches drinking Causes hangover like IsA band drinking IsA consuming[USER] Oh , so do I . [triples]oh FormOf o oh IsA base[EOC]",[SOR][SYSTEM] Why don't we go for one now ? [EOR],[SOR][SYSTEM] Great.Let's have a look around. What's good for you? [EOR]
"[SOC][USER] Oh , so do I . [triples]oh FormOf o oh IsA base[SYSTEM] Why don't we go for one now ? [triples]don IsA title don IsA gentleman don IsA head[USER] Great . We can chat while enjoying a cup there . [triples]great SimilarTo large cup SimilarTo mug cup IsA trophy cup IsA punch cup HasA liquid chat IsA conversation great SimilarTo extraordinary enjoying FormOf enjoy cup IsA hole great IsA achiever[EOC]",[SOR][SYSTEM] Let's go ! [EOR],"[SOR][SYSTEM] Great! Thank you, Miss Granger. I'm coming. [EOR]"
"[SOC][USER]What are your personal weaknesses ? [triples]personal SimilarTo intimate personal SimilarTo personalized personal SimilarTo physical personal SimilarTo individual personal SimilarTo subjective weaknesses FormOf weakness[SYSTEM] I ’ m afraid I ’ m a poor talker . I ’ m not comfortable talking with the people whom I have just met for the first time . That is not very good for business , so I have been studying public speaking . [triples]talking Causes conversation public IsA body speaking FormOf speak talking Causes noise talking Causes distraction public SimilarTo common talking Causes understanding talking FormOf talk talking IsA speech met FormOf meet speaking IsA talking talking Causes headaches talking Causes communication talking IsA performing talking Causes sound public SimilarTo national talking Causes laughing public SimilarTo open[USER] Are you more of a leader or a follower ? [triples]leader IsA person leader HasA followers follower IsA traveler follower IsA person leader IsA leader[EOC]","[SOR][SYSTEM] I don ’ t try to lead people . I ’ d rather cooperate with everybody , and get the job done by working together . [EOR]",[SOR][SYSTEM] Let ’ s start meeting new people at the beginning of this month. We are going to create some new public speaking and take time to reflect on the problems of the relationship between the new people. I am still studying English
"[SOC][USER] Are you more of a leader or a follower ? [triples]leader IsA person leader HasA followers follower IsA traveler follower IsA person leader IsA leader[SYSTEM] I don ’ t try to lead people . I ’ d rather cooperate with everybody , and get the job done by working together . [triples]people IsA hairdressers people IsA not people IsA managers people IsA celebrities lead IsA position people IsA dancing people IsA criminals people IsA parents job Causes stress working Causes prosperity working Causes fatigue lead IsA section people IsA physicians people IsA exercising people HasA rights people IsA less people HasA beliefs lead IsA advantage people HasA muscles people IsA liars people IsA teachers job IsA relationship people FormOf persons working Causes results people HasA emotions lead IsA strip people HasA parents people HasA manufactured lead IsA angle people HasA lifestyles people HasA names lead IsA turn people HasA eyes people IsA entrepreneurs people HasA brains people HasA feelings people IsA everywhere people IsA lawyers working Causes creation people IsA greedy job IsA application lead IsA mineral job IsA product people HasA sex working FormOf work people IsA politicians people HasA mission people IsA judges people HasA consciousness lead IsA leadership people HasA teeth people IsA extroverted people HasA friends people IsA chefs people IsA individuals people HasA person working Causes produce job IsA book people IsA jerks people IsA group job IsA work lead IsA evidence job IsA workplace working Causes hunger people HasA feet job IsA duty lead IsA score working Causes stress people HasA wants people HasA skin job IsA person people HasA information people IsA psychologists people IsA persons working SimilarTo practical lead FormOf led people IsA magazine people IsA scientists working Causes reward people IsA better people FormOf person people IsA regularly people IsA family job IsA unfortunate people HasA ears people IsA secretaries working IsA treatment people IsA headaches people HasA eat[USER] Do you think you can make yourself easily understood in English ? [triples]understood FormOf understand make IsA software english IsA class english IsA language english IsA spin[EOC]","[SOR][SYSTEM] Yes , in most circumstances . [EOR]","[SOR][SYSTEM] No, I think I have an English accent. But dragon does not understand many languages. I originated from Taichung. [EOR]"
"[SOC][USER] Do you think you can make yourself easily understood in English ? [triples]understood FormOf understand make IsA software english IsA class english IsA language english IsA spin[SYSTEM] Yes , in most circumstances . [triples]circumstances IsA possession circumstances FormOf circumstance yes IsA affirmative yes SimilarTo nod[USER] Are you available for travel ? [triples]travel SimilarTo journey available SimilarTo accessible travel Causes travel available SimilarTo easy available SimilarTo open travel SimilarTo voyage travel IsA motion travel IsA performing available SimilarTo ready available SimilarTo visible[EOC]","[SOR][SYSTEM] Yes , I like travelling . I am young , and unmarried . It ’ s no problem for me to travel frequently . [EOR]","[SOR][SYSTEM] No. I've been in Beijing almost two days, my visa has been issued and I need to accept it. [EOR]"
"[SOC][USER]how long will it take us to drive to London ? [triples]london IsA city london IsA capital drive IsA mechanism drive IsA trait long SimilarTo continuing drive IsA device drive IsA transportation drive IsA return long SimilarTo daylong long SimilarTo tall long SimilarTo abundant long SimilarTo stretch drive IsA journey long SimilarTo far drive IsA road[SYSTEM] I think it ’ s a distance of 180 kilometers from here to London , so it should be a two-hour drive on the motorway . [triples]london IsA city london IsA capital kilometers FormOf kilometer hour IsA distance distance IsA region distance IsA quantity distance IsA indifference distance IsA interval distance IsA size motorway IsA highway distance IsA point[USER] that ’ s unless there is a traffic jam . It could take three hours . [triples]hours FormOf hour traffic IsA collection traffic IsA communication jam IsA band jam IsA conserve traffic IsA commerce jam SimilarTo jelly jam SimilarTo preserve jam IsA spread hours IsA album[EOC]","[SOR][SYSTEM] you ’ re right . We will be able to travel at high speeds at the beginning and end of the journey , because we will be in built-up areas . [EOR]",[SOR][SYSTEM] definitely. It ’ s just too arranged! [EOR]
"[SOC][USER] that ’ s unless there is a traffic jam . It could take three hours . [triples]hours FormOf hour traffic IsA collection traffic IsA communication jam IsA band jam IsA conserve traffic IsA commerce jam SimilarTo jelly jam SimilarTo preserve jam IsA spread hours IsA album[SYSTEM] you ’ re right . We will be able to travel at high speeds at the beginning and end of the journey , because we will be in built-up areas . [triples]journey IsA travel high IsA degree travel SimilarTo voyage travel IsA motion high SimilarTo upper high SimilarTo broad high SimilarTo soaring high SimilarTo higher high SimilarTo overlooking high SimilarTo postgraduate high SimilarTo steep high SimilarTo advanced high SimilarTo alto travel SimilarTo journey high SimilarTo pinched travel Causes travel travel IsA performing speeds FormOf speed high SimilarTo soprano built FormOf build high SimilarTo utmost[USER] so , shall we allow three hours to cover the distance ? [triples]hours FormOf hour cover IsA fire hours IsA album cover IsA recording distance IsA region distance IsA quantity distance IsA indifference distance IsA interval shall SimilarTo will distance IsA size distance IsA point[EOC]","[SOR][SYSTEM] ok . You haven ’ t seen my company car , have you ? [EOR]","[SOR][SYSTEM] no, you should leave them for tomorrow afternoon. Or else we will have traffic jams difficult to maintain, with a lot of traffic jams. [EOR]"
"[SOC][USER] so , shall we allow three hours to cover the distance ? [triples]hours FormOf hour cover IsA fire hours IsA album cover IsA recording distance IsA region distance IsA quantity distance IsA indifference distance IsA interval shall SimilarTo will distance IsA size distance IsA point[SYSTEM] ok . You haven ’ t seen my company car , have you ? [triples]car IsA item car HasA windows haven IsA shelter car HasA engine car HasA tires car IsA machine car IsA vehicle haven IsA site seen IsA person company IsA institution car HasA roof company IsA friendship ok FormOf okay car HasA filter company IsA organization company IsA unit car HasA seats car IsA tool seen FormOf see car IsA compartment company HasA earnings ok IsA magazine car Causes pollution car HasA wheels car HasA horn car HasA seat company HasA assets[USER] no . let me take a look ... it ’ s longer than my car . [triples]car IsA item let IsA lease car HasA windows longer IsA person car HasA engine car HasA tires car IsA machine car IsA vehicle look IsA appearance car HasA roof let IsA serve car HasA filter look SimilarTo watch longer IsA single car HasA seats look IsA company car IsA tool car IsA compartment look SimilarTo peek car Causes pollution look SimilarTo glance car HasA wheels car HasA horn longer FormOf long car HasA seat[EOC]",[SOR][SYSTEM] I think it ’ s over five meters long . I can ’ t remember exactly . It has a maximum speed of over 200 kilometers an hour . [EOR],[SOR][SYSTEM] it gives away way too much of its measurement! [EOR]
[SOC][USER] no . let me take a look ... it ’ s longer than my car . [triples]car IsA item let IsA lease car HasA windows longer IsA person car HasA engine car HasA tires car IsA machine car IsA vehicle look IsA appearance car HasA roof let IsA serve car HasA filter look SimilarTo watch longer IsA single car HasA seats look IsA company car IsA tool car IsA compartment look SimilarTo peek car Causes pollution look SimilarTo glance car HasA wheels car HasA horn longer FormOf long car HasA seat[SYSTEM] I think it ’ s over five meters long . I can ’ t remember exactly . It has a maximum speed of over 200 kilometers an hour . [triples]long SimilarTo continuing kilometers FormOf kilometer long SimilarTo daylong long SimilarTo tall speed IsA pace hour IsA distance speed IsA motion speed IsA rate long SimilarTo abundant long SimilarTo stretch long SimilarTo far meters FormOf meter[USER] wow ! That ’ s fast ! I don ’ t think we will be traveling that fast on the motorway . [triples]traveling Causes exhilarating fast SimilarTo windy traveling Causes diarrhea motorway IsA highway traveling Causes fatigue fast SimilarTo smooth fast SimilarTo accelerated fast SimilarTo rapid fast SimilarTo express fast SimilarTo speedy traveling Causes movement traveling FormOf travel traveling IsA action traveling Causes learning traveling Causes moving fast SimilarTo fleet traveling Causes sickness fast SimilarTo smart traveling Causes fear[EOC],"[SOR][SYSTEM] we can ’ t . if we went that fast , we would break the speed limit . [EOR]","[SOR][SYSTEM] if you could take some long johns skid marks he would show me one, how much is he going to pay? [EOR]"
"[SOC][USER]So how did I do on my driving test ? [triples]driving FormOf drive driving IsA travel driving Causes moving driving SimilarTo energetic driving Causes injuries driving Causes accidents driving IsA action test IsA wrestler test IsA covering driving Causes accident driving IsA steering driving Causes fatigue driving Causes transportation did FormOf do[SYSTEM] Do you want the truth ? [triples]truth IsA fact truth IsA concept truth IsA virtue truth IsA what truth IsA statement[USER] Of course , I do . [triples]course IsA series course IsA facility course IsA direction course IsA layer course IsA education course IsA action[EOC]","[SOR][SYSTEM] Well , you really didn't do all that well . [EOR]",[SOR][SYSTEM] But should I register for it? [EOR]
"[SOC][USER] Of course , I do . [triples]course IsA series course IsA facility course IsA direction course IsA layer course IsA education course IsA action[SYSTEM] Well , you really didn't do all that well . [triples]nan[USER] How bad did I do ? [triples]did FormOf do bad SimilarTo harmful bad SimilarTo evil bad SimilarTo mediocre bad SimilarTo severe bad FormOf bid bad SimilarTo naughty bad SimilarTo pretty bad SimilarTo incompetent bad SimilarTo inferior bad SimilarTo tough bad SimilarTo negative bad SimilarTo ill bad SimilarTo nonstandard bad SimilarTo intense bad IsA quality bad SimilarTo unsuitable[EOC]","[SOR][SYSTEM] To be completely honest , you failed your test . [EOR]","[SOR][SYSTEM] Great, really. I developed a lot of facial and mouthfeel habits in school. [EOR]"
"[SOC][USER] How bad did I do ? [triples]did FormOf do bad SimilarTo harmful bad SimilarTo evil bad SimilarTo mediocre bad SimilarTo severe bad FormOf bid bad SimilarTo naughty bad SimilarTo pretty bad SimilarTo incompetent bad SimilarTo inferior bad SimilarTo tough bad SimilarTo negative bad SimilarTo ill bad SimilarTo nonstandard bad SimilarTo intense bad IsA quality bad SimilarTo unsuitable[SYSTEM] To be completely honest , you failed your test . [triples]honest SimilarTo truthful test IsA wrestler test IsA covering honest SimilarTo genuine failed FormOf fail honest SimilarTo sincere honest SimilarTo equitable[USER] How ? [triples]nan[EOC]",[SOR][SYSTEM] There were a number of reasons . [EOR],"[SOR][SYSTEM] To be honest, you failed my test. [EOR]"
[SOC][USER] How ? [triples]nan[SYSTEM] There were a number of reasons . [triples]number IsA company number IsA merchandise number IsA item number IsA amount number IsA quantity number IsA size number IsA digit reasons FormOf reason number IsA information[USER] What were they ? [triples]nan[EOC],"[SOR][SYSTEM] Basically , you just can't drive . [EOR]","[SOR][SYSTEM] Number 003, three hundred and fifty dollars these are. [EOR]"
"[SOC][USER] What were they ? [triples]nan[SYSTEM] Basically , you just can't drive . [triples]drive IsA mechanism drive IsA trait drive IsA device drive IsA transportation drive IsA return just SimilarTo fitting drive IsA journey drive IsA road[USER] Can I have another try ? [triples]try IsA goal[EOC]",[SOR][SYSTEM] You can take it in a couple weeks . [EOR],"[SOR][SYSTEM] Yes, my husband has just crashed his car. [EOR]"
"[SOC][USER]Good morning . What's the matter with you ? [triples]matter IsA anything good IsA quality good SimilarTo saving matter IsA trouble good SimilarTo fortunate good SimilarTo hot matter IsA writing good SimilarTo pleasing good SimilarTo nice good SimilarTo redeeming matter IsA book matter IsA energy good SimilarTo complete morning SimilarTo afternoon good SimilarTo superb matter HasA mass good SimilarTo white matter IsA concern good IsA advantage good SimilarTo solid good SimilarTo satisfactory[SYSTEM] Good morning , doctor . I have a terrible headache . [triples]doctor IsA play doctor IsA worker good IsA quality good SimilarTo saving doctor IsA expert good SimilarTo fortunate good SimilarTo hot terrible SimilarTo intense doctor IsA scholar good SimilarTo pleasing good SimilarTo nice good SimilarTo redeeming doctor IsA person good SimilarTo complete headache IsA ache morning SimilarTo afternoon good SimilarTo superb good SimilarTo white doctor IsA professional good IsA advantage good SimilarTo solid good SimilarTo satisfactory[USER] All right , young man . Tell me how it got started . [triples]young SimilarTo little young SimilarTo early man IsA adult man SimilarTo woman young SimilarTo junior man IsA person young SimilarTo newborn young SimilarTo tender man SimilarTo boy young IsA animal man IsA lover got FormOf get man IsA male young SimilarTo new started FormOf start[EOC]",[SOR][SYSTEM] Yesterday I had a runny nose . Now my nose is stuffed up . I have a sore throat . And I ’ m afraid I've got a temperature . I feel terrible . [EOR],"[SOR][SYSTEM] Out in the mountains, you drive slowly through a stupid mountain road one hour and 20 minutes. It's all the way to South Mountain. [EOR]"
"[SOC][USER] All right , young man . Tell me how it got started . [triples]young SimilarTo little young SimilarTo early man IsA adult man SimilarTo woman young SimilarTo junior man IsA person young SimilarTo newborn young SimilarTo tender man SimilarTo boy young IsA animal man IsA lover got FormOf get man IsA male young SimilarTo new started FormOf start[SYSTEM] Yesterday I had a runny nose . Now my nose is stuffed up . I have a sore throat . And I ’ m afraid I've got a temperature . I feel terrible . [triples]stuffed SimilarTo full stuffed FormOf stuff nose IsA symbol runny SimilarTo liquid nose IsA front throat IsA opening throat IsA passage nose IsA skill nose IsA smell[USER] Don't worry , young man . Lat me give you an examination . First let me take a look at your throat . Open your mouth and say'ah ' . [triples]mouth IsA opening lat SimilarTo long mouth HasA teeth examination IsA communication worry Causes worry examination IsA test mouth IsA not throat IsA opening mouth HasA lips lat IsA person mouth IsA where throat IsA passage examination IsA investigation[EOC]",[SOR][SYSTEM] Ah . [EOR],[SOR][SYSTEM] It sure is. Do you think you ’ re doing your job well? [EOR]
"[SOC][USER] Don't worry , young man . Lat me give you an examination . First let me take a look at your throat . Open your mouth and say'ah ' . [triples]mouth IsA opening lat SimilarTo long mouth HasA teeth examination IsA communication worry Causes worry examination IsA test mouth IsA not throat IsA opening mouth HasA lips lat IsA person mouth IsA where throat IsA passage examination IsA investigation[SYSTEM] Ah . [triples]nan[USER] Your throat is inflamed . And your tongue is heavily coated . You have all the symptoms of influenza . [triples]influenza IsA virus symptoms IsA signs tongue IsA muscle tongue IsA underwater influenza SimilarTo flu tongue IsA anatomy throat IsA opening throat IsA passage inflamed SimilarTo unhealthy influenza IsA disease influenza IsA infection tongue IsA organ[EOC]",[SOR][SYSTEM] What am I supposed to do then ? [EOR],"[SOR][SYSTEM] look, dear. It hurts too. [EOR]"
"[SOC][USER] Your throat is inflamed . And your tongue is heavily coated . You have all the symptoms of influenza . [triples]influenza IsA virus symptoms IsA signs tongue IsA muscle tongue IsA underwater influenza SimilarTo flu tongue IsA anatomy throat IsA opening throat IsA passage inflamed SimilarTo unhealthy influenza IsA disease influenza IsA infection tongue IsA organ[SYSTEM] What am I supposed to do then ? [triples]supposed FormOf suppose supposed SimilarTo obligated[USER] A good rest is all you need , and drink more water . I'll write you a prescription . [triples]good IsA quality good SimilarTo saving water HasA cycle good SimilarTo fortunate water IsA solvent good SimilarTo hot drink IsA liquid water IsA life water HasA oxygen water IsA food good SimilarTo pleasing rest IsA bridge water IsA utility water IsA element good SimilarTo nice drink IsA helping prescription IsA direction water IsA chemical water IsA beverage good SimilarTo redeeming water IsA fluid rest IsA death rest IsA support good SimilarTo complete rest SimilarTo lie good SimilarTo superb good SimilarTo white water HasA surface water IsA water water IsA liquid water HasA weight good IsA advantage good SimilarTo solid good SimilarTo satisfactory prescription IsA document[EOC]",[SOR][SYSTEM] Thank you very much . [EOR],[SOR][SYSTEM] Then I can take Dali or Quince or Dos. [EOR]
